block 0000 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0059 | PDF 3 | trang 3 | Em xin bày tỏ lòng biết ơn sâu sắc đến cô Vũ Thị Dương, người đã trực tiếp hướng dẫn, định hướng và tận tình hỗ trợ em trong quá trình thực hiện đồ án. Những ý kiến đóng góp, sự chỉ bảo và kinh nghiệm quý báu của cô đã giúp em giải quyết những khó khăn, từng bước hoàn thiện nội dung nghiên cứu và sản phẩm của đề tài.
block 0060 | PDF 3 | trang 3 | Em cũng xin chân thành cảm ơn các thầy cô trong Khoa Công nghệ thông tin, gia đình và bạn bè đã luôn quan tâm, động viên, khích lệ và hỗ trợ em trong suốt quá trình học tập cũng như thực hiện đồ án tốt nghiệp.
block 0061 | PDF 3 | trang 3 | Mặc dù đã có nhiều cố gắng trong quá trình nghiên cứu và xây dựng hệ thống, tuy nhiên do kiến thức, thời gian và kinh nghiệm thực tế còn hạn chế nên đồ án khó tránh khỏi những thiếu sót. Em rất mong nhận được những ý kiến nhận xét và đóng góp quý báu từ các thầy cô để đề tài được hoàn thiện hơn.
block 0062 | PDF 3 | trang 3 | Cuối cùng, em xin kính chúc quý thầy cô luôn dồi dào sức khỏe, hạnh phúc và thành công trong sự nghiệp giáo dục.
block 0063 | PDF 3 | trang 3 | Em xin chân thành cảm ơn!
block 0064 | PDF 3 | trang 3 |                                                                                           Sinh viên
block 0065 | PDF 3 | trang 3 |              						        Lê Đức Thuận
block 0074 | PDF 8 | trang 5 | DANH MỤC CÁC KÝ HIỆU, CÁC TỪ VIẾT TẮT
block 0078 | PDF 9 | trang 6 | DANH MỤC HÌNH ẢNH
block 0080 | PDF 9 | trang 6 | Hình 2.1. Kiến trúc xử lý tổng quát của mô hình YOLO	14
block 0081 | PDF 9 | trang 6 | Hình 3.1. Biểu đồ UseCase tổng quát	29
block 0082 | PDF 9 | trang 6 | Hình 3.2. Kiến trúc tổng thể của hệ thống.	39
block 0083 | PDF 9 | trang 6 | Hình 3.3. Quy trình tiếp nhận và phân tích ảnh, video	41
block 0084 | PDF 9 | trang 6 | Hình 3.4. Sơ đồ thực thể – liên kết của hệ thống.	51
block 0085 | PDF 9 | trang 6 | Hình 3.5. Thiết kế giao diện Đăng nhập, đăng ký	53
block 0086 | PDF 9 | trang 6 | Hình 3.6. Thiết kế giao diện Quản lý dự án và địa điểm	53
block 0087 | PDF 9 | trang 6 | Hình 3.7. Thiết kế giao diện tải dữ liệu và theo dõi tiến trình	54
block 0088 | PDF 9 | trang 6 | Hình 3.8. Thiết kế giao diện kết quả nhận diện và minh chứng	54
block 0089 | PDF 9 | trang 6 | Hình 3.9. Thiết kế giao diện thống kê và tải kết quả	55
block 0090 | PDF 9 | trang 6 | Hình 4.1. Ảnh dữ liệu đã gán nhãn	58
block 0091 | PDF 9 | trang 6 | Hình 4.2. Giao diện đăng nhập, đăng ký	61
block 0092 | PDF 9 | trang 6 | Hình 4.3. Giao diện quản lý dự án và địa điểm	61
block 0093 | PDF 9 | trang 6 | Hình 4.4. Giao diện tải dữ liệu và theo dõi tiến trình	62
block 0094 | PDF 9 | trang 6 | Hình 4.5. Giao diện kết quả nhận diện và minh chứng	62
block 0095 | PDF 9 | trang 6 | Hình 4.6. Giao diện thống kê và tải kết quả	63
block 0096 | PDF 9 | trang 6 | Hình 4.7. Kết quả nhận diện trên ảnh	65
block 0097 | PDF 9 | trang 6 | Hình 4.8. Kết quả nhận diện sau khi tinh chỉnh mô hình	66
block 0102 | PDF 10 | trang 7 | DANH MỤC BẢNG 	
block 0103 | PDF 10 | trang 7 | Bảng 1.1. Đối chiếu phương án ban đầu và hướng phát triển	10
block 0104 | PDF 10 | trang 7 | Bảng 2.1. Một số tham số huấn luyện cơ bản	17
block 0105 | PDF 10 | trang 7 | Bảng 2.2. Phân loại kết quả phát hiện đối tượng	21
block 0106 | PDF 10 | trang 7 | Bảng 2.3. Các đường cong đánh giá	23
block 0107 | PDF 10 | trang 7 | Bảng 3.1. Yêu cầu chức năng	27
block 0108 | PDF 10 | trang 7 | Bảng 3.2. Yêu cầu phi chức năng	27
block 0109 | PDF 10 | trang 7 | Bảng 3.3. Các thành phần kiến trúc	39
block 0110 | PDF 10 | trang 7 | Bảng 3.4. Quy tắc xác định trạng thái	45
block 0111 | PDF 10 | trang 7 | Bảng 3.5. Các bảng dữ liệu	51
block 0112 | PDF 10 | trang 7 | Bảng 3.6. Cấu trúc kho lưu trữ dữ liệu	52
block 0113 | PDF 10 | trang 7 | Bảng 4.1. Môi trường huấn luyện mô hình	56
block 0114 | PDF 10 | trang 7 | Bảng 4.2. Môi trường triển khai và kiểm thử ứng dụng	56
block 0115 | PDF 10 | trang 7 | Bảng 4.3. Phân chia tập dữ liệu	57
block 0116 | PDF 10 | trang 7 | Bảng 4.4. Thông tin tham số huấn luyện	58
block 0117 | PDF 10 | trang 7 | Bảng 4.5. Chỉ số mô hình sau huấn luyện	59
block 0118 | PDF 10 | trang 7 | Bảng 4.6. Giá trị đánh giá trên tập kiểm thử	59
block 0119 | PDF 10 | trang 7 | Bảng 4.7. Chỉ số đánh giá sau kiểm thử	59
block 0120 | PDF 10 | trang 7 | Bảng 4.8. So sánh kết quả nhận diện của hai mô hình	60
block 0121 | PDF 10 | trang 7 | Bảng 4.9. Đánh giá trên tập test với nhãn NO-HELMET	60
block 0122 | PDF 10 | trang 7 | Bảng 4.10. Nội dung kiểm thử	63
block 0123 | PDF 10 | trang 7 | Bảng 4.11. Kết quả kiểm thử	64
block 0125 | PDF 11 | trang 1 | MỞ ĐẦU
block 0126 | PDF 11 | trang 1 | 1. Lý do chọn đề tài
block 0127 | PDF 11 | trang 1 | Xe máy là phương tiện giao thông gắn liền với nhu cầu đi lại hằng ngày của người dân. Việc đội mũ bảo hiểm khi điều khiển xe máy thể hiện ý thức bảo vệ bản thân và trách nhiệm trong chấp hành giao thông. Tuy nhiên, tình trạng không đội mũ bảo hiểm vẫn xuất hiện trong thực tế, đặt ra nhu cầu tăng cường tuyên truyền và tổ chức giám sát phù hợp với đặc điểm của từng khu vực.
block 0128 | PDF 11 | trang 1 | Để hoạt động tuyên truyền và giám sát có cơ sở thực tiễn, việc ghi nhận số lượng các trường hợp không đội mũ bảo hiểm theo địa điểm và thời gian là cần thiết. Những thông tin này có thể giúp nhận biết khu vực thường xuyên xuất hiện hành vi không chấp hành, xác định khung giờ cần quan tâm và hỗ trợ sắp xếp hoạt động giám sát hợp lý. Tuy nhiên, việc quan sát, kiểm đếm và tổng hợp thủ công từ ảnh, video mất nhiều thời gian, đặc biệt khi khối lượng dữ liệu lớn hoặc có nhiều phương tiện xuất hiện.
block 0129 | PDF 11 | trang 1 | Thị giác máy tính cung cấp khả năng tự động phát hiện và theo dõi đối tượng trong hình ảnh, video. Việc ứng dụng công nghệ này vào bài toán phát hiện người điều khiển xe máy không đội mũ bảo hiểm có thể hỗ trợ quá trình rà soát dữ liệu, ghi nhận hình ảnh minh chứng và tổng hợp kết quả. Khi kết hợp với chức năng quản lý dữ liệu theo địa điểm, thời gian, hệ thống có thể cung cấp thông tin tham khảo phục vụ tuyên truyền và xác định các khu vực cần ưu tiên giám sát.
block 0130 | PDF 11 | trang 1 | Xuất phát từ nhu cầu trên, đề tài “Ứng dụng thị giác máy tính trong phát hiện người điều khiển xe máy không đội mũ bảo hiểm” được lựa chọn thực hiện. Đề tài tập trung xây dựng hệ thống phát hiện từ ảnh và video, lưu trữ kết quả và thống kê các trường hợp được ghi nhận theo khu vực, khung giờ. Qua đó, hệ thống hướng đến hỗ trợ nâng cao ý thức chấp hành giao thông thông qua tuyên truyền, đồng thời cung cấp cơ sở tham khảo cho việc bố trí hoạt động giám sát tại những khu vực có nhiều trường hợp không đội mũ bảo hiểm.
block 0131 | PDF 11 | trang 1 | 2. Mục tiêu của đề tài
block 0132 | PDF 11 | trang 1 | Đề tài được thực hiện với mục tiêu:
block 0133 | PDF 12 | trang 2 | - Mục tiêu tổng quát: Ứng dụng thị giác máy tính để xây dựng hệ thống hỗ trợ phát hiện người điều khiển xe máy không đội mũ bảo hiểm từ ảnh và video; trên cơ sở cải tiến mô hình hai lớp có sẵn thành mô hình ba lớp có bổ sung đối tượng xe máy. Hệ thống hướng đến hạn chế ghi nhận nhầm người đi bộ, đồng thời tổng hợp kết quả phục vụ tuyên truyền và hỗ trợ lựa chọn địa điểm, khung giờ ưu tiên giám sát.
block 0134 | PDF 12 | trang 2 | - Mục tiêu cụ thể: 
block 0135 | PDF 12 | trang 2 | Nghiên cứu cơ sở lý thuyết về phát hiện đối tượng, mô hình YOLO và phương pháp theo dõi đối tượng trong video.
block 0136 | PDF 12 | trang 2 | Khảo sát mô hình hai lớp, phân tích nguyên nhân hệ thống có thể ghi nhận nhầm người đi bộ khi chỉ dựa vào trạng thái không đội mũ.
block 0137 | PDF 12 | trang 2 | Chuẩn bị dữ liệu, bổ sung nhãn xe máy và thực hiện huấn luyện để phát triển mô hình nhận diện ba lớp trên cơ sở mô hình ban đầu.
block 0138 | PDF 12 | trang 2 | Xây dựng phương pháp liên kết vùng đầu với xe máy nhằm phân biệt các phát hiện có liên quan đến người đi xe máy với các đối tượng ngoài phạm vi bài toán.
block 0139 | PDF 12 | trang 2 | Xây dựng quy trình xử lý ảnh và video; áp dụng theo dõi đối tượng, xác nhận qua nhiều khung hình để hạn chế đếm trùng và ghi nhận nhầm.
block 0140 | PDF 12 | trang 2 | Xây dựng ứng dụng web hỗ trợ quản lý dự án, địa điểm, tải dữ liệu, theo dõi tiến độ và xem lại kết quả phân tích.
block 0141 | PDF 12 | trang 2 | Lưu hình ảnh minh chứng, tổng hợp số lượng và tỷ lệ các trường hợp được ghi nhận theo địa điểm, thời gian để hỗ trợ tuyên truyền và sắp xếp hoạt động giám sát.
block 0142 | PDF 12 | trang 2 | So sánh hệ thống sử dụng mô hình hai lớp với hệ thống sử dụng mô hình ba lớp kết hợp liên kết đối tượng, chú trọng khả năng giảm báo nhầm đối với người đi bộ, mức độ bỏ sót và tốc độ xử lý.
block 0143 | PDF 12 | trang 2 | 3. Đối tượng và phạm vi nghiên cứu
block 0144 | PDF 12 | trang 2 | Đối tượng nghiên cứu: 
block 0145 | PDF 12 | trang 2 | Mô hình phát hiện đối tượng có sẵn với hai lớp: đội mũ bảo hiểm và không đội mũ bảo hiểm.
block 0146 | PDF 12 | trang 2 | Phương pháp phát triển mô hình nhằm bổ sung lớp xe máy.
block 0147 | PDF 12 | trang 2 | Phương pháp liên kết vùng đầu với xe máy để xác định đối tượng có liên quan đến phương tiện.
block 0148 | PDF 12 | trang 2 | Dữ liệu nghiên cứu: Ảnh và video có người tham gia giao thông.
block 0149 | PDF 12 | trang 2 | Phạm vi nghiên cứu: 
block 0150 | PDF 12 | trang 2 | Về dữ liệu: Hệ thống xử lý ảnh, video do người dùng tải lên và gắn với địa điểm, ngày, khung giờ; chưa hỗ trợ camera thời gian thực.
block 0151 | PDF 13 | trang 3 | Về mô hình và xử lý: Phát triển từ mô hình hai lớp thành ba lớp có bổ sung xe máy; kết hợp vị trí vùng đầu – xe máy và theo dõi đối tượng để hạn chế nhận nhầm, đếm trùng.
block 0152 | PDF 13 | trang 3 | Về đối tượng phát hiện: Tập trung phát hiện người điều khiển xe máy không đội mũ; chưa phân biệt chắc chắn người lái và người ngồi sau, không nhận diện danh tính, biển số hay chất lượng mũ.
block 0153 | PDF 13 | trang 3 | Về chức năng ứng dụng: Quản lý dự án, địa điểm, phiên phân tích; lưu minh chứng và thống kê theo địa điểm, thời gian; không tự động xử phạt hoặc bố trí lực lượng.
block 0154 | PDF 13 | trang 3 | Về đánh giá: Đánh giá độ chính xác phát hiện, báo nhầm người đi bộ, bỏ sót, sai số đếm và tốc độ xử lý trên dữ liệu kiểm thử.
block 0155 | PDF 13 | trang 3 | 4. Ý nghĩa khoa học và thực tiễn
block 0156 | PDF 13 | trang 3 | Ý nghĩa khoa học: Đề tài vận dụng kiến thức về phát hiện và theo dõi đối tượng để giải quyết bài toán cụ thể. Việc phát triển mô hình từ hai lớp lên ba lớp, kết hợp liên kết vùng đầu với xe máy, cho phép đánh giá vai trò của thông tin phương tiện trong việc hạn chế báo nhầm người đi bộ. Kết quả thực nghiệm cung cấp cơ sở nhận xét hiệu quả và giới hạn của hướng cải tiến.
block 0157 | PDF 13 | trang 3 | Ý nghĩa thực tiễn: Hệ thống hỗ trợ rà soát ảnh, video và tổng hợp kết quả, giảm khối lượng kiểm đếm thủ công. Hình ảnh và số liệu sau khi kiểm tra có thể làm tư liệu tuyên truyền chấp hành giao thông. Thống kê theo khu vực, khung giờ cũng cung cấp thông tin tham khảo để lựa chọn nơi cần ưu tiên và bố trí hoạt động giám sát hợp lý.
block 0158 | PDF 13 | trang 3 | 5. Phương pháp nghiên cứu
block 0159 | PDF 13 | trang 3 | Các phương pháp nghiên cứu gồm:
block 0160 | PDF 13 | trang 3 | Phương pháp nghiên cứu tài liệu: Tìm hiểu mô hình YOLO, phát hiện đối tượng, theo dõi đối tượng và các chỉ số đánh giá.
block 0161 | PDF 13 | trang 3 | Khảo sát và phát triển mô hình: Phân tích lỗi của mô hình hai lớp, bổ sung dữ liệu gán nhãn xe máy và huấn luyện mô hình ba lớp.
block 0162 | PDF 13 | trang 3 | Xây dựng quy trình xử lý: Kết hợp phát hiện, liên kết vùng đầu với xe máy và theo dõi đối tượng trong video.
block 0163 | PDF 13 | trang 3 | Xây dựng ứng dụng: Thiết kế cơ sở dữ liệu và chương trình tích hợp chức năng phân tích, lưu trữ, thống kê.
block 0164 | PDF 13 | trang 3 | Thực nghiệm: So sánh các phương án trên cùng dữ liệu kiểm thử; đánh giá phát hiện đúng, báo nhầm người đi bộ, bỏ sót, sai số đếm và tốc độ xử lý.   
block 0165 | PDF 14 | trang 4 | 6. Kết quả mong muốn đạt được
block 0166 | PDF 14 | trang 4 | Kết quả mong muốn khi thực hiện đề tài:
block 0167 | PDF 14 | trang 4 | Mô hình ba lớp cùng quy trình liên kết đối tượng nhằm hạn chế ghi nhận nhầm người đi bộ.
block 0168 | PDF 14 | trang 4 | Ứng dụng web hỗ trợ phân tích ảnh, video, quản lý dữ liệu và xem hình ảnh minh chứng.
block 0169 | PDF 14 | trang 4 | Thống kê theo địa điểm và thời gian, hỗ trợ nhận biết khu vực, khung giờ cần quan tâm.
block 0170 | PDF 14 | trang 4 | Kết quả thực nghiệm so sánh với phương án ban đầu, làm rõ mức độ cải thiện và các hạn chế.
block 0171 | PDF 14 | trang 4 | Báo cáo đồ án, mã nguồn và hướng dẫn sử dụng hệ thống.
block 0172 | PDF 14 | trang 4 | 7. Bố cục báo cáo 
block 0173 | PDF 14 | trang 4 | Ngoài phần mở đầu, kết luận, tài liệu tham khảo, nội dung chính của báo cáo được tổ chức thành bốn chương:
block 0174 | PDF 14 | trang 4 | Chương 1: Tổng quan về bài toán phát hiện người đi xe máy không đội mũ bảo hiểm. 
block 0175 | PDF 14 | trang 4 | Chương 2: Cơ sở lý thuyết và công nghệ sử dụng. 
block 0176 | PDF 14 | trang 4 | Chương 3: Phân tích và thiết kế hệ thống
block 0177 | PDF 14 | trang 4 | Chương 4: Tinh chỉnh mô hình, xây dựng và kiểm thử hệ thống. 
block 0180 | PDF 15 | trang 5 | CHƯƠNG 1: TỔNG QUAN VỀ BÀI TOÁN PHÁT HIỆN NGƯỜI ĐI XE MÁY KHÔNG ĐỘI MŨ BẢO HIỂM
block 0181 | PDF 15 | trang 5 | 1.1. Khảo sát bối cảnh và nhu cầu thực tiễn
block 0182 | PDF 15 | trang 5 | 1.1.1. Bối cảnh sử dụng mũ bảo hiểm và nhu cầu ghi nhận
block 0183 | PDF 15 | trang 5 | 	Xe máy là phương tiện quen thuộc trong hoạt động đi lại hằng ngày. Việc sử dụng mũ bảo hiểm có ý nghĩa đối với an toàn của người tham gia giao thông và thể hiện ý thức chấp hành các quy tắc giao thông. Theo Tổ chức Y tế Thế giới [1], thúc đẩy sử dụng mũ bảo hiểm cần có sự kết hợp giữa tuyên truyền, tiêu chuẩn chất lượng mũ và hoạt động thực thi. Thu thập, phân tích dữ liệu cũng là một nội dung hỗ trợ xây dựng và đánh giá các hoạt động này.
block 0184 | PDF 15 | trang 5 | Đối với đề tài, vấn đề được quan tâm là khả năng ghi nhận các trường hợp không đội mũ từ hình ảnh giao thông. Một khung hình có thể đồng thời chứa người điều khiển xe máy, người ngồi sau, người đi bộ và các phương tiện khác. Mặc dù cùng có trạng thái không đội mũ, những đối tượng này không có cùng vai trò trong bài toán. Vì vậy, quá trình phát hiện cần xem xét cả trạng thái đội mũ và mối liên hệ của người được quan sát với xe máy.
block 0185 | PDF 15 | trang 5 | Việc khảo sát trong chương tập trung vào nhu cầu xử lý dữ liệu và những vấn đề quan sát được khi thử nghiệm mô hình ban đầu. Đề tài chưa thực hiện điều tra diện rộng về tỷ lệ chấp hành tại một địa phương. Do đó, các nhận xét về hiện tượng không đội mũ được giới hạn trong dữ liệu khảo sát và thực nghiệm, không dùng để kết luận về toàn bộ tình hình giao thông của một khu vực.
block 0186 | PDF 15 | trang 5 | 1.1.2. Công tác ghi nhận, giám sát và những hạn chế
block 0187 | PDF 15 | trang 5 | Việc ghi nhận các trường hợp không đội mũ có thể thực hiện bằng quan sát trực tiếp hoặc xem lại ảnh, video. Người quan sát cần xác định phương tiện, trạng thái đội mũ và ghi lại thông tin để phục vụ phân loại, kiểm đếm và thống kê theo địa điểm, thời gian.
block 0188 | PDF 15 | trang 5 | Phương pháp thủ công có ưu điểm là có thể xem xét ngữ cảnh và kiểm tra lại các trường hợp khó, nhưng tốn nhiều thời gian, đặc biệt với video dài hoặc có nhiều đối tượng. Ngoài ra, cùng một xe máy có thể xuất hiện ở nhiều khung hình, dễ dẫn đến bỏ sót hoặc đếm trùng.
block 0189 | PDF 16 | trang 6 | Từ đó, đề tài định hướng xây dựng ứng dụng web quản lý dữ liệu theo dự án và địa điểm. Người dùng có thể tải ảnh, video, theo dõi quá trình xử lý, xem kết quả và khai thác thống kê. Trong đó, phát hiện đúng đối tượng là chức năng trọng tâm, còn lưu trữ và thống kê hỗ trợ công tác tuyên truyền và giám sát.
block 0190 | PDF 16 | trang 6 | 1.1.3. Nhu cầu ứng dụng công nghệ hỗ trợ tuyên truyền và bố trí giám sát
block 0191 | PDF 16 | trang 6 | Ứng dụng thị giác máy tính có thể hỗ trợ phân tích ảnh, video và lựa chọn những trường hợp cần xem xét. Khi kết quả được lưu kèm hình ảnh, địa điểm và thời gian, người sử dụng có thể tra cứu, kiểm tra và lựa chọn tư liệu phục vụ tuyên truyền chấp hành giao thông.
block 0192 | PDF 16 | trang 6 | Bên cạnh đó, thống kê theo khu vực và khung giờ giúp nhận biết nơi có nhiều trường hợp không đội mũ trong dữ liệu đã phân tích. Thông tin này cung cấp cơ sở tham khảo để lựa chọn địa điểm và thời gian ưu tiên giám sát.
block 0193 | PDF 16 | trang 6 | Việc so sánh cần xét cả thời lượng quan sát và lưu lượng phương tiện. Một khu vực được ghi hình lâu hơn có thể có tổng số trường hợp cao hơn, nhưng chưa chắc có tỷ lệ không chấp hành cao hơn. Vì vậy, hệ thống cần trình bày số liệu gắn với phạm vi dữ liệu, hỗ trợ người sử dụng đánh giá phù hợp.
block 0194 | PDF 16 | trang 6 | 1.2. Tổng quan về bài toán phát hiện người điều khiển xe máy không đội mũ bảo hiểm
block 0195 | PDF 16 | trang 6 | 1.2.1. Mô tả bài toán và đối tượng cần phát hiện
block 0196 | PDF 16 | trang 6 | 	Đối tượng sử dụng hệ thống là cán bộ Phòng Cảnh sát giao thông có nhu cầu theo dõi tình trạng không đội mũ bảo hiểm khi tham gia giao thông bằng xe máy. Hệ thống hỗ trợ phân tích ảnh, video tại các địa điểm khảo sát, lưu hình ảnh minh chứng và tổng hợp kết quả theo địa điểm, khung giờ. Các thông tin này giúp cán bộ rà soát, đánh giá tình hình trong phạm vi dữ liệu đã thu thập, làm cơ sở tham khảo cho công tác tuyên truyền và bố trí hoạt động giám sát phù hợp.
block 0197 | PDF 16 | trang 6 | 	Từ nhu cầu giám sát đã trình bày, người quản lý cần có số liệu về tình trạng đội mũ bảo hiểm tại các địa điểm và khung giờ khảo sát. Tuy nhiên, để có được những thông tin này, người quản lý phải xem ảnh, theo dõi video, kiểm đếm và tổng hợp kết quả. Khi khối lượng dữ liệu lớn, quá trình thực hiện thủ công mất nhiều thời gian, làm chậm việc cung cấp thông tin phục vụ tuyên truyền và bố trí hoạt động giám sát.
block 0198 | PDF 17 | trang 7 | Bài toán đặt ra là xây dựng hệ thống hỗ trợ phân tích ảnh và video giao thông, phát hiện các trường hợp đi xe máy không đội mũ bảo hiểm, lưu hình ảnh minh chứng và tổng hợp kết quả theo địa điểm, thời gian. Hệ thống hướng đến giảm khối lượng quan sát, kiểm đếm thủ công, đồng thời giúp người quản lý thuận tiện xem lại và đối chiếu những trường hợp đã được ghi nhận.
block 0199 | PDF 17 | trang 7 | Các đối tượng cần phát hiện gồm xe máy, vùng đầu có đội mũ và vùng đầu không đội mũ bảo hiểm. Trong đó, thông tin xe máy cung cấp ngữ cảnh để xem xét vùng đầu được phát hiện có liên quan đến người sử dụng phương tiện hay không. Đây là yêu cầu cần thiết vì ảnh giao thông có thể đồng thời chứa người đi xe máy, người ngồi sau và người đi bộ. Nếu chỉ dựa vào trạng thái không đội mũ, hệ thống có thể ghi nhận nhầm người đi bộ thành đối tượng thuộc phạm vi bài toán.
block 0200 | PDF 17 | trang 7 | 1.2.2. Dữ liệu đầu vào và kết quả đầu ra
block 0201 | PDF 17 | trang 7 | 1.2.2.1. Dữ liệu đầu vào
block 0202 | PDF 17 | trang 7 | Dữ liệu đầu vào gồm ảnh và video do người dùng tải lên, được gắn với dự án, địa điểm, ngày và khung giờ để phục vụ lưu trữ và tra cứu.
block 0203 | PDF 17 | trang 7 | Đối với ảnh, hệ thống phân tích đối tượng và liên kết vùng đầu với xe máy dựa trên vị trí. Đối với video, hệ thống xử lý các khung hình, theo dõi đối tượng và xác nhận trạng thái qua nhiều khung hình.
block 0204 | PDF 17 | trang 7 | Dữ liệu có thể gồm người đi xe máy, người ngồi sau và người đi bộ. Các trường hợp nhiều đối tượng đứng gần nhau, bị che khuất hoặc vùng đầu nhỏ có thể ảnh hưởng đến kết quả nhận diện và liên kết.
block 0205 | PDF 17 | trang 7 | 1.2.2.2. Kết quả đầu ra
block 0206 | PDF 17 | trang 7 | Kết quả đầu ra được tổ chức thành các nhóm sau:
block 0207 | PDF 17 | trang 7 | Kết quả trực quan: Ảnh hoặc video có đánh dấu vùng phát hiện, nhãn đối tượng và thông tin liên quan.
block 0208 | PDF 17 | trang 7 | Các trường hợp được ghi nhận: Hình ảnh minh chứng, độ tin cậy của dự đoán, tệp nguồn và thông tin thời điểm trong video khi có.
block 0209 | PDF 17 | trang 7 | Kết quả thống kê: Số phương tiện và trường hợp không đội mũ được hệ thống ghi nhận phân bố theo địa điểm, thời gian.
block 0210 | PDF 17 | trang 7 | Thông tin xử lý: Trạng thái phiên phân tích, tiến độ thực hiện và thông báo lỗi nếu dữ liệu không thể xử lý.
block 0211 | PDF 18 | trang 8 | Các kết quả đầu ra được sử dụng để hỗ trợ cán bộ Phòng Cảnh sát giao thông theo dõi và đánh giá tình trạng không đội mũ bảo hiểm trong phạm vi dữ liệu khảo sát. Ảnh, video có chú thích và hình ảnh minh chứng giúp người dùng kiểm tra lại các trường hợp được ghi nhận, đối chiếu với dữ liệu gốc và lựa chọn tư liệu phục vụ tuyên truyền. Số liệu thống kê theo địa điểm, khung giờ giúp nhận biết những khu vực và thời điểm cần quan tâm, cung cấp cơ sở tham khảo để bố trí hoạt động giám sát.
block 0212 | PDF 18 | trang 8 | 1.2.3. Các yêu cầu và phạm vi giải quyết của hệ thống
block 0213 | PDF 18 | trang 8 | 1.2.3.1. Các yêu cầu cơ bản
block 0214 | PDF 18 | trang 8 | Về chất lượng phát hiện: Nhận diện đúng các lớp đối tượng và sử dụng thông tin xe máy để hạn chế nhầm người đi bộ.
block 0215 | PDF 18 | trang 8 | Về xử lý video: Theo dõi đối tượng qua các khung hình, xác nhận trạng thái và hạn chế đếm trùng.
block 0216 | PDF 18 | trang 8 | Về quản lý dữ liệu: Quản lý ảnh, video theo dự án, địa điểm; theo dõi tiến độ, tra cứu và tải kết quả.
block 0217 | PDF 18 | trang 8 | Về kiểm chứng: Lưu hình ảnh minh chứng, thông tin nguồn và đối chiếu kết quả với dữ liệu gán nhãn hoặc kiểm đếm thủ công.
block 0218 | PDF 18 | trang 8 | 1.2.3.2. Phạm vi giải quyết
block 0219 | PDF 18 | trang 8 | Trong phạm vi đề tài, hệ thống tiếp nhận và xử lý ảnh, video do người dùng tải lên; chưa triển khai kết nối camera để giám sát trực tiếp theo thời gian thực. Nội dung tập trung vào phát hiện trạng thái đội mũ trong ngữ cảnh xe máy, lưu minh chứng và thống kê kết quả. Các chức năng nhận diện danh tính, biển số, đánh giá chất lượng mũ và việc cài quai mũ nằm ngoài phạm vi nghiên cứu.
